Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Dec 31, 2024",$2.0575,$2.1410,$2.0141,$2.0801,"$4,725,443,244","$119,420,209,569",XRP
"Dec 30, 2024",$2.0932,$2.1432,$2.0002,$2.0576,"$6,671,570,513","$118,124,149,020",XRP
"Dec 29, 2024",$2.1808,$2.1928,$2.0720,$2.0932,"$3,053,146,362","$120,170,454,381",XRP
"Dec 28, 2024",$2.1417,$2.1995,$2.1350,$2.1808,"$2,759,395,789","$125,202,117,998",XRP
"Dec 27, 2024",$2.1543,$2.2313,$2.1235,$2.1417,"$5,426,840,159","$122,953,566,139",XRP
"Dec 26, 2024",$2.2959,$2.3120,$2.1341,$2.1543,"$5,466,927,247","$123,680,579,862",XRP
"Dec 25, 2024",$2.3246,$2.3278,$2.2638,$2.2960,"$3,967,858,677","$131,445,476,913",XRP
"Dec 24, 2024",$2.2573,$2.3462,$2.2145,$2.3246,"$5,976,090,472","$133,090,815,327",XRP
"Dec 23, 2024",$2.1994,$2.2685,$2.1353,$2.2573,"$10,144,129,668","$129,234,842,662",XRP
"Dec 22, 2024",$2.2378,$2.2909,$2.1671,$2.1993,"$11,275,662,705","$125,923,128,093",XRP
"Dec 21, 2024",$2.2769,$2.3816,$2.2038,$2.2381,"$14,987,697,762","$128,119,020,133",XRP
"Dec 20, 2024",$2.2489,$2.3461,$1.9695,$2.2769,"$26,858,734,292","$130,357,944,215",XRP
"Dec 19, 2024",$2.3033,$2.4264,$2.1696,$2.2489,"$23,020,304,511","$128,753,851,209",XRP
"Dec 18, 2024",$2.5652,$2.5846,$2.2874,$2.3033,"$19,855,585,018","$131,721,067,956",XRP
"Dec 17, 2024",$2.4886,$2.7177,$2.4457,$2.5652,"$17,019,845,093","$146,700,115,734",XRP
"Dec 16, 2024",$2.4470,$2.5689,$2.3449,$2.4887,"$12,061,755,485","$142,317,600,201",XRP
"Dec 15, 2024",$2.3987,$2.4654,$2.3696,$2.4470,"$6,045,150,094","$139,938,660,157",XRP
"Dec 14, 2024",$2.4213,$2.5206,$2.3579,$2.3987,"$7,815,885,534","$137,176,691,644",XRP
"Dec 13, 2024",$2.3427,$2.4723,$2.2944,$2.4213,"$9,425,468,612","$138,470,090,851",XRP
"Dec 12, 2024",$2.4001,$2.4816,$2.3170,$2.3428,"$10,907,030,447","$133,975,578,866",XRP
"Dec 11, 2024",$2.3693,$2.4659,$2.2392,$2.4001,"$14,234,882,608","$137,084,477,675",XRP
"Dec 10, 2024",$2.2192,$2.4111,$1.9123,$2.3692,"$26,630,797,341","$135,328,392,119",XRP
"Dec 09, 2024",$2.6083,$2.6083,$2.1031,$2.2190,"$19,372,805,327","$126,756,639,869",XRP
"Dec 08, 2024",$2.6165,$2.6409,$2.4924,$2.6083,"$10,558,694,953","$148,979,151,280",XRP
"Dec 07, 2024",$2.4247,$2.6173,$2.3963,$2.6166,"$12,359,080,774","$149,449,831,183",XRP
"Dec 06, 2024",$2.2509,$2.4605,$2.2395,$2.4247,"$13,380,810,341","$138,494,675,251",XRP
"Dec 05, 2024",$2.3544,$2.4850,$2.1889,$2.2952,"$21,253,973,296","$131,109,469,088",XRP
"Dec 04, 2024",$2.5256,$2.6703,$2.2956,$2.3544,"$22,033,216,003","$134,324,762,498",XRP
"Dec 03, 2024",$2.7139,$2.8649,$2.3610,$2.5255,"$43,498,034,453","$144,087,179,578",XRP
"Dec 02, 2024",$2.3207,$2.8497,$2.2439,$2.7138,"$51,723,383,809","$154,833,155,060",XRP
"Dec 01, 2024",$1.9441,$2.3396,$1.8536,$2.3202,"$18,321,198,113","$132,401,816,052",XRP
"Nov 30, 2024",$1.7967,$1.9549,$1.7706,$1.9441,"$16,537,204,319","$110,914,167,221",XRP
"Nov 29, 2024",$1.5413,$1.8115,$1.5279,$1.7967,"$14,734,827,154","$102,505,288,526",XRP
"Nov 28, 2024",$1.4728,$1.5424,$1.4342,$1.5413,"$5,820,667,101","$87,935,391,291",XRP
"Nov 27, 2024",$1.4013,$1.5184,$1.3573,$1.4728,"$7,766,481,602","$83,950,603,431",XRP
"Nov 26, 2024",$1.4154,$1.4565,$1.2948,$1.4013,"$9,378,581,138","$79,873,183,625",XRP
"Nov 25, 2024",$1.4324,$1.5359,$1.3643,$1.4154,"$11,517,571,350","$80,677,514,038",XRP
"Nov 24, 2024",$1.4690,$1.5091,$1.3082,$1.4324,"$11,863,424,377","$81,624,797,886",XRP
"Nov 23, 2024",$1.4690,$1.6216,$1.4275,$1.4690,"$15,468,388,183","$83,731,293,274",XRP
"Nov 22, 2024",$1.2502,$1.4969,$1.2476,$1.4690,"$19,984,456,169","$83,733,145,933",XRP
"Nov 21, 2024",$1.1023,$1.2518,$1.0821,$1.2504,"$10,451,562,188","$71,177,670,947",XRP
"Nov 20, 2024",$1.1019,$1.1466,$1.0637,$1.1023,"$6,409,028,714","$62,755,593,015",XRP
"Nov 19, 2024",$1.1179,$1.1458,$1.0738,$1.1019,"$5,884,163,705","$62,734,956,393",XRP
"Nov 18, 2024",$1.0543,$1.1833,$1.0543,$1.1179,"$9,978,319,005","$63,643,084,553",XRP
"Nov 17, 2024",$1.1191,$1.1546,$1.0055,$1.0543,"$12,066,098,151","$60,025,087,548",XRP
"Nov 16, 2024",$0.8921,$1.2567,$0.8799,$1.1191,"$22,568,823,580","$63,711,060,614",XRP
"Nov 15, 2024",$0.773,$0.9248,$0.7726,$0.8921,"$11,738,281,623","$50,787,886,168",XRP
"Nov 14, 2024",$0.6903,$0.8452,$0.6844,$0.773,"$9,458,526,339","$44,008,304,174",XRP
"Nov 13, 2024",$0.7076,$0.7435,$0.6426,$0.6903,"$7,773,620,799","$39,255,753,600",XRP
"Nov 12, 2024",$0.6205,$0.7354,$0.5991,$0.7077,"$11,156,505,329","$40,242,318,218",XRP
"Nov 11, 2024",$0.5894,$0.6307,$0.572,$0.6205,"$4,066,959,667","$35,285,114,663",XRP
"Nov 10, 2024",$0.5595,$0.616,$0.5562,$0.5894,"$4,198,897,125","$33,517,383,371",XRP
"Nov 09, 2024",$0.5541,$0.5614,$0.5451,$0.5595,"$1,238,578,019","$31,816,864,569",XRP
"Nov 08, 2024",$0.5547,$0.5597,$0.543,$0.5541,"$1,498,480,370","$31,509,715,098",XRP
"Nov 07, 2024",$0.5424,$0.5739,$0.5384,$0.5547,"$1,889,112,043","$31,546,871,797",XRP
"Nov 06, 2024",$0.514,$0.5466,$0.514,$0.5424,"$2,211,008,426","$30,847,084,575",XRP
"Nov 05, 2024",$0.5032,$0.5183,$0.502,$0.514,"$1,027,346,174","$29,232,168,029",XRP
"Nov 04, 2024",$0.5029,$0.5138,$0.4968,$0.5032,"$1,025,432,948","$28,617,812,811",XRP
